patient,TP53,BRCA1
TCGA-BH-A0B9,6.4094,2.3423
TCGA-AR-A1AQ,4.0918,2.4225
TCGA-E9-A226,4.1547,2.7572
TCGA-E9-A1NF,5.2476,1.334
TCGA-BH-A0DL,5.4764,3.3264
TCGA-A2-A4S1,4.7872,0.8082
TCGA-E2-A1B0,6.3925,3.2737
TCGA-C8-A26W,5.5361,2.9413
TCGA-D8-A1JH,5.9791,2.6418
TCGA-AO-A12D,3.242,1.595
TCGA-AC-A2FM,6.0676,3.5779
TCGA-E9-A3Q9,4.1563,0.7407
TCGA-AN-A0AL,5.682,2.004
TCGA-B6-A0WW,5.5242,2.4701
TCGA-OL-A5RZ,4.857,1.4281
TCGA-D8-A1JL,6.3707,0.537
TCGA-A7-A0DB,4.1324195431,1.5481130368
TCGA-AR-A1AV,6.0594,3.866
TCGA-D8-A1JC,4.8719,4.0739
TCGA-EW-A1OW,3.8925,4.061
TCGA-B6-A2IU,5.0888,3.1311
TCGA-C8-A137,5.6508,1.7009
TCGA-C8-A1HN,5.7455,4.0436
TCGA-E2-A1L8,5.4935,1.9895
TCGA-A7-A26J,4.9941471716,3.0422370285
TCGA-BH-A0E7,5.2869,2.3366
TCGA-D8-A73U,4.8028,1.5854
TCGA-D8-A27N,4.7986,1.6558
TCGA-LL-A8F5,4.9787,1.6281
TCGA-C8-A8HP,2.9148,1.7995
TCGA-BH-A6R8,5.1958,2.1509
TCGA-BH-A202,2.9637,4.2488
TCGA-OL-A5RY,5.0295,1.4808
TCGA-OL-A66I,4.4437,2.7357
TCGA-C8-A12V,6.0665,1.3735
TCGA-A7-A26E,4.2381143344,1.9072677122
TCGA-AO-A03N,5.4397,1.614
TCGA-BH-A42T,5.3093,4.0739
TCGA-BH-A0HO,5.2277,2.4198
TCGA-A8-A09X,5.3985,2.3048
TCGA-AR-A254,3.8064,2.9729
TCGA-BH-A0HL,5.0018,3.6939
TCGA-AC-A3HN,5.5008,2.6715
TCGA-BH-A0H7,4.7496,2.3019
TCGA-AC-A6IW,6.733,2.3451
TCGA-EW-A1J5,4.9468,3.981
TCGA-OL-A6VO,7.2213,4.1732
TCGA-AC-A23E,5.4871,2.2206
TCGA-EW-A1J1,4.97,1.5415
TCGA-A8-A09W,6.4145,2.7095
TCGA-B6-A0IM,5.3775,3.8239
TCGA-BH-A1F0,4.4189,3.7475
TCGA-EW-A1PD,5.5847,4.4913
TCGA-D8-A1J8,5.9432,3.3577
TCGA-B6-A0RV,5.6548,1.5514
TCGA-AR-A24N,5.0242,3.8075
TCGA-AQ-A1H3,5.3067,3.7215
TCGA-C8-A131,5.9853,2.4008
TCGA-AR-A2LQ,5.07,1.5366
TCGA-A2-A0EP,5.0113,1.6045
TCGA-BH-A0H3,6.1332,2.5313
TCGA-BH-A1FJ,6.3374,4.5964
TCGA-B6-A40C,5.8392,2.8897
TCGA-E2-A1IF,5.822,1.9859
TCGA-AO-A0JE,5.4667,3.1195
